,main_category,url
0,Internet_and_Telecom,000webhost.com
1,Not_working,007go.com
2,Not_working,010.com
3,Career_and_Education,022menchuang.net
4,Not_working,050anshin.com
5,News_and_Media,055firenze.it
6,Not_working,05tz2e9.com
7,Not_working,0687.info
8,News_and_Media,0746news.com
9,Not_working,0c9d8370d.se
10,Science,0calc.com
11,Not_working,0day.in
12,Gambling,1-x-bet.com
13,Shopping,1000-instrumentov.ru
14,Food_and_Drink,1000.menu
15,Not_working,10000birds.com
16,Books_and_Literature,1000kitap.com
17,Autos_and_Vehicles,1000ps.at
18,Pets_and_Animals,1001salles.com
19,Internet_and_Telecom,10086.cn
20,Health,100diet.net
21,Not_working,101test.com
22,Career_and_Education,101xp.com
23,Internet_and_Telecom,104.com
24,Sports,1091.co.jp
25,Not_working,10bet.co.uk
26,Gambling,10bet.com
27,Gambling,10betlive.com
28,Books_and_Literature,1100ad.com
29,Health,111.com.cn
30,Career_and_Education,1111.com.tw
31,Not_working,11185.cn
32,Computer_and_Electronics,111cn.net
33,News_and_Media,112-magazin.de
34,Not_working,1180049.com
35,Reference,118118.com
36,Computer_and_Electronics,121ware.com
37,Not_working,123doc.org
38,Not_working,123haitao.com
39,Arts_and_Entertainment,123kubo.com
40,Not_working,123lottosystem.net
41,Not_working,123meng.com
42,Computer_and_Electronics,123project.ir
43,Arts_and_Entertainment,123vidz.com
44,Internet_and_Telecom,1337x.to
45,Beauty_and_Fitness,13980.com
46,Internet_and_Telecom,140online.com
47,Adult,155chan.info
48,Not_working,158c.com
49,Not_working,159i.com
50,Not_working,15yan.com
51,Shopping,1688.com
52,Games,17173.com
53,Books_and_Literature,177tvb.com
54,Games,178.com
55,Games,17k.com
56,Computer_and_Electronics,17sucai.com
57,Health,1800contacts.com
58,Gambling,188bet.com
59,Internet_and_Telecom,189.cn
60,Adult,18pornolar.com
61,Career_and_Education,18touch.com
62,Not_working,1905.com
63,Career_and_Education,1980.org.tw
64,Not_working,1day.sk
65,Not_working,1digitalstock.com
66,Autos_and_Vehicles,1hai.cn
67,Reference,1ilac.com
68,Career_and_Education,1kid.ru
69,Arts_and_Entertainment,1kkk.com
70,Not_working,1life.com
71,Not_working,1myrdrcts.com
72,Law_and_Government,1st4immigration.com
73,Not_working,1stdibs.com
74,Internet_and_Telecom,1stwebdesigner.com
75,Not_working,1sudoku.net
76,Arts_and_Entertainment,1tu.com
77,Gambling,1x-bet.com
78,Reference,20000-names.com
79,Law_and_Government,2016dvlottery.com
80,Adult,20jack.net
81,Gambling,21grandcasinos.com
82,Gambling,21novacasino.com
83,Finance,21st.com
84,Business_and_Industry,230la.net
85,Games,247sudoku.com
86,Shopping,24day0am.com
87,Beauty_and_Fitness,24hair.ru
88,Recreation_and_Hobbies,24hourcampfire.com
89,Computer_and_Electronics,24om.com
90,Not_working,24option.com
91,Pets_and_Animals,24petwatch.com
92,Not_working,25pp.com
93,Internet_and_Telecom,263.com
94,Gambling,288-563.com
95,Autos_and_Vehicles,28car.com
96,Not_working,29bca6cb72a665c8.se
97,Adult,2beeg.com
98,Not_working,2bike.rs
99,Pets_and_Animals,2cat.org
100,Internet_and_Telecom,2chan.net
101,Games,2kxs.com
102,Recreation_and_Hobbies,2paintminiatures.com
103,Adult,2raw4tv.com
104,Arts_and_Entertainment,2sao.vn
105,Arts_and_Entertainment,3000.tv
106,Finance,30daychange.co
107,Beauty_and_Fitness,30dayfitnesschallenges.com
108,News_and_Media,310tv.com
109,Health,3237.fr
110,Not_working,34innlevent.com
111,Gambling,3533.com
112,Not_working,35766.info
113,Gambling,360-bo.com
114,Health,360kad.com
115,Games,365chess.com
116,Not_working,365rili.com
117,Career_and_Education,365zhaosheng.com
118,Shopping,3663cateringequipment.com
119,Not_working,366jours.free.fr
120,People_and_Society,38mama.ru
121,Health,39.net
122,Health,39dollarglasses.com
123,Food_and_Drink,3ayezakol.com
124,Health,3bees.com
125,Not_working,3c41ddc0.se
126,Not_working,3c45d848d99.se
127,Games,3claws.com
128,Arts_and_Entertainment,3d-galleru.ru
129,Not_working,3ders.org
130,Not_working,3dhubs.com
131,Games,3dmgame.com
132,Not_working,3dmodel.vn
133,Not_working,3dsecure.no
